title,name
Alaala                        ,Gina Alajar                                                                                              
Alaap                         ,Hrishikesh Mukherjee                                                                                     
Alaala ng lumipas             ,Mar S. Torres                                                                                            
Alaaf auf hoher See           ,Sibylle Nies                                                                                             
Alaaf You                     ,Baris Aladag                                                                                             
Alaala                        ,Rechie Del Carmen                                                                                        
Alaala ng ina                 ,Albert Langitan                                                                                          
Alaala ng alon                ,Liryc Dela Cruz                                                                                          
Alaaf auf hoher See           ,Deborah Stöckle                                                                                          
Alaa                          ,Manohar Chimmani                                                                                         
Alaala kita                   ,Armando Garces                                                                                           
Alaalang banal                ,Armando Garces                                                                                           
Alaala ni Fe                  ,Don Michael Perez                                                                                        
Alaala ni Elias               ,Don Michael Perez                                                                                        
Alab                          ,Ana Cristina Ganzon                                                                                      
Alab                          ,Mark A. Reyes                                                                                            
Alaala                        ,Mark A. Reyes                                                                                            
Alaaf auf hoher See           ,Gerrit Mannes                                                                                            
Alaala kita                   ,Cesar Gallardo                                                                                           
Alaan                         ,Gulzar                                                                                                   
Alaala ni Fe                  ,Toto Natividad                                                                                           
Alaala ni Elias               ,Toto Natividad                                                                                           
Alaala ng pag-ibig            ,J. Erastheo Navoa                                                                                        
Alaala kita                   ,Manuel Conde                                                                                             
Alab                          ,Janis Piopongco                                                                                          
