title,name
Alaala                        ,Gina Alajar                                                                                              
Alaala ng lumipas             ,Mar S. Torres                                                                                            
Alab                          ,Ana Cristina Ganzon                                                                                      
Alaala ng ina                 ,Albert Langitan                                                                                          
Alaala kita                   ,Cesar Gallardo                                                                                           
Alaan                         ,Gulzar                                                                                                   
Alaap                         ,Hrishikesh Mukherjee                                                                                     
Alaala kita                   ,Armando Garces                                                                                           
Alaalang banal                ,Armando Garces                                                                                           
Alaala ni Fe                  ,Don Michael Perez                                                                                        
Alaala ni Elias               ,Don Michael Perez                                                                                        
Alaaf auf hoher See           ,Sibylle Nies                                                                                             
Alab                          ,Mark A. Reyes                                                                                            
Alaala                        ,Mark A. Reyes                                                                                            
Alaaf You                     ,Baris Aladag                                                                                             
Alaala                        ,Rechie Del Carmen                                                                                        
Alaaf auf hoher See           ,Deborah Stöckle                                                                                          
Alaala ni Fe                  ,Toto Natividad                                                                                           
Alaala ni Elias               ,Toto Natividad                                                                                           
Alaala ng pag-ibig            ,J. Erastheo Navoa                                                                                        
Alaala kita                   ,Manuel Conde                                                                                             
Alab                          ,Janis Piopongco                                                                                          
Alaaf auf hoher See           ,Gerrit Mannes                                                                                            
Alaala ng alon                ,Liryc Dela Cruz                                                                                          
Alaa                          ,Manohar Chimmani                                                                                         
