title,name
Alaala kita                   ,Cesar Gallardo                                                                                           
Alaala kita                   ,Armando Garces                                                                                           
Alaalang banal                ,Armando Garces                                                                                           
Alab                          ,Janis Piopongco                                                                                          
Alab                          ,Mark A. Reyes                                                                                            
Alaala                        ,Mark A. Reyes                                                                                            
Alaaf You                     ,Baris Aladag                                                                                             
Alaala                        ,Rechie Del Carmen                                                                                        
Alaa                          ,Manohar Chimmani                                                                                         
Alaala                        ,Gina Alajar                                                                                              
Alaala ni Fe                  ,Toto Natividad                                                                                           
Alaala ni Elias               ,Toto Natividad                                                                                           
Alaala ng pag-ibig            ,J. Erastheo Navoa                                                                                        
Alaala kita                   ,Manuel Conde                                                                                             
Alab                          ,Ana Cristina Ganzon                                                                                      
Alaaf auf hoher See           ,Gerrit Mannes                                                                                            
Alaala ng alon                ,Liryc Dela Cruz                                                                                          
Alaan                         ,Gulzar                                                                                                   
Alaap                         ,Hrishikesh Mukherjee                                                                                     
Alaala ng lumipas             ,Mar S. Torres                                                                                            
Alaala ni Fe                  ,Don Michael Perez                                                                                        
Alaala ni Elias               ,Don Michael Perez                                                                                        
Alaaf auf hoher See           ,Sibylle Nies                                                                                             
Alaala ng ina                 ,Albert Langitan                                                                                          
Alaaf auf hoher See           ,Deborah Stöckle                                                                                          
