title,name
Alaala kita                   ,Cesar Gallardo                                                                                           
Alaan                         ,Gulzar                                                                                                   
Alaala ni Fe                  ,Toto Natividad                                                                                           
Alaala ni Elias               ,Toto Natividad                                                                                           
Alaala ng pag-ibig            ,J. Erastheo Navoa                                                                                        
Alaala kita                   ,Manuel Conde                                                                                             
Alaala ni Fe                  ,Don Michael Perez                                                                                        
Alaala ni Elias               ,Don Michael Perez                                                                                        
Alaaf auf hoher See           ,Gerrit Mannes                                                                                            
Alaala ng alon                ,Liryc Dela Cruz                                                                                          
Alaala ng lumipas             ,Mar S. Torres                                                                                            
Alab                          ,Ana Cristina Ganzon                                                                                      
Alaala ng ina                 ,Albert Langitan                                                                                          
Alaaf auf hoher See           ,Deborah Stöckle                                                                                          
Alaa                          ,Manohar Chimmani                                                                                         
Alaala                        ,Gina Alajar                                                                                              
Alaap                         ,Hrishikesh Mukherjee                                                                                     
Alaala kita                   ,Armando Garces                                                                                           
Alaalang banal                ,Armando Garces                                                                                           
Alaaf auf hoher See           ,Sibylle Nies                                                                                             
Alab                          ,Janis Piopongco                                                                                          
Alab                          ,Mark A. Reyes                                                                                            
Alaala                        ,Mark A. Reyes                                                                                            
Alaaf You                     ,Baris Aladag                                                                                             
Alaala                        ,Rechie Del Carmen                                                                                        
Aláàló (Someone has a Story   ,David Adeogun                                                                                            
