Alaala                        ,Gina Alajar                                                                                              
Alaala kita                   ,Cesar Gallardo                                                                                           
Alaan                         ,Gulzar                                                                                                   
Alaap                         ,Hrishikesh Mukherjee                                                                                     
Alaala ni Elias               ,Toto Natividad                                                                                           
Alaala ni Fe                  ,Toto Natividad                                                                                           
Alaala ng pag-ibig            ,J. Erastheo Navoa                                                                                        
Alaalang banal                ,Armando Garces                                                                                           
Alaala kita                   ,Armando Garces                                                                                           
Alaala kita                   ,Manuel Conde                                                                                             
Alaala ng lumipas             ,Mar S. Torres                                                                                            
Alaala ni Elias               ,Don Michael Perez                                                                                        
Alaala ni Fe                  ,Don Michael Perez                                                                                        
Alaaf auf hoher See           ,Sibylle Nies                                                                                             
Alab                          ,Janis Piopongco                                                                                          
Alab                          ,Ana Cristina Ganzon                                                                                      
Alaala                        ,Mark A. Reyes                                                                                            
Alab                          ,Mark A. Reyes                                                                                            
Alaaf You                     ,Baris Aladag                                                                                             
Alaala                        ,Rechie Del Carmen                                                                                        
Alaala ng ina                 ,Albert Langitan                                                                                          
Aláàló (Someone has a Story   ,David Adeogun                                                                                            
Alaaf auf hoher See           ,Gerrit Mannes                                                                                            
Alaala ng alon                ,Liryc Dela Cruz                                                                                          
Alaaf auf hoher See           ,Deborah Stöckle                                                                                          
Alaa                          ,Manohar Chimmani                                                                                         
