Backanterna                   ,Ingmar Bergman                                                                                           
Battling Butler               ,Buster Keaton                                                                                            
Barry Lyndon                  ,Stanley Kubrick                                                                                          
Bananas                       ,Woody Allen                                                                                              
Baseball Wives                ,Steve Buscemi                                                                                            
Backdraft                     ,Ron Howard                                                                                               
Bad Education                 ,Pedro Almodóvar                                                                                         
Basements                     ,Robert Altman                                                                                            
Batman                        ,Tim Burton                                                                                               
Batman Returns                ,Tim Burton                                                                                               
Battle Beyond the Sun         ,Francis Ford Coppola                                                                                     
Bach Cello Suite #4: Sarabande,Atom Egoyan                                                                                              
Bare Fists                    ,John Ford                                                                                                
Bamboo Cross                  ,John Ford                                                                                                
Band of Outsiders             ,Jean-Luc Godard                                                                                          
Balked at the Altar           ,D.W. Griffith                                                                                            
Bad Influence                 ,Curtis Hanson                                                                                            
Back Field in Motion          ,Ron Jeremy                                                                                               
Bare Essentials               ,Ron Jeremy                                                                                               
Babes Boobs and Bikes         ,Ron Jeremy                                                                                               
Backdoor to Hollywood 10      ,Ron Jeremy                                                                                               
Backdoor to Hollywood 3       ,Ron Jeremy                                                                                               
Backdoor to Hollywood 6       ,Ron Jeremy                                                                                               
Bamboozled                    ,Spike Lee                                                                                                
Bad News Bears                ,Richard Linklater                                                                                        
Badlands                      ,Terrence Malick                                                                                          
Barenaked in America          ,Jason Priestley                                                                                          
Babies Having Babies          ,Martin Sheen                                                                                             
Bay City Story                ,Alan Smithee                                                                                             
Barbra: The Concert           ,Barbra Streisand                                                                                         
Basic Instinct                ,Paul Verhoeven                                                                                           
Bad Seed                      ,Billy Wilder                                                                                             
Back to the Future            ,Robert Zemeckis                                                                                          
Back to the Future Part II    ,Robert Zemeckis                                                                                          
Back to the Future Part III   ,Robert Zemeckis                                                                                          
Bar Hopping                   ,Steve Cohen                                                                                              
Bagdad Cafe                   ,Percy Adlon                                                                                              
Barnyard Flirtations          ,Roscoe 'Fatty' Arbuckle                                                                                  
Back Stage                    ,Roscoe 'Fatty' Arbuckle                                                                                  
Bachelor in Paradise          ,Jack Arnold                                                                                              
Batty Baseball                ,Tex Avery                                                                                                
Bad Luck Blackie              ,Tex Avery                                                                                                
Baron Blood                   ,Mario Bava                                                                                               
Bad Boys                      ,Michael Bay                                                                                              
Bad Boys II                   ,Michael Bay                                                                                              
Bad Company                   ,Robert Benton                                                                                            
Barry McKenzie Holds His Own  ,Bruce Beresford                                                                                          
Babes in Arms                 ,Busby Berkeley                                                                                           
Babes on Broadway             ,Busby Berkeley                                                                                           
Bambola                       ,Bigas Luna                                                                                               
Barton Fink                   ,Joel Coen                                                                                                
Battleship Potemkin           ,Sergei Eisenstein                                                                                        
Bad Lieutenant                ,Abel Ferrara                                                                                             
Barbed Wire Dolls             ,Jesús Franco                                                                                            
Band of the Hand              ,Paul Michael Glaser                                                                                      
Bad Kate                      ,Oliver Hardy                                                                                             
Barbary Coast                 ,Howard Hawks                                                                                             
Ball of Fire                  ,Howard Hawks                                                                                             
Ballad of the Little Soldier  ,Werner Herzog                                                                                            
Bastard Out of Carolina       ,Anjelica Huston                                                                                          
Bad Taste                     ,Peter Jackson                                                                                            
Bandit Queen                  ,Shekhar Kapur                                                                                            
Baby Doll                     ,Elia Kazan                                                                                               
Bash: Latter-Day Plays        ,Neil LaBute                                                                                              
Baby Brokers                  ,Mimi Leder                                                                                               
Bandits                       ,Barry Levinson                                                                                           
Basic                         ,John McTiernan                                                                                           
Baa Baa Blacksheep            ,Mike Newell                                                                                              
Bad Blood                     ,Mike Newell                                                                                              
Bad Timing: A Sensual Obsessio,Nicolas Roeg                                                                                             
Batman Forever                ,Joel Schumacher                                                                                          
Batman & Robin                ,Joel Schumacher                                                                                          
Bad Company                   ,Joel Schumacher                                                                                          
Barefoot                      ,Til Schweiger                                                                                            
Barcelona                     ,Whit Stillman                                                                                            
BASEketball                   ,David Zucker                                                                                             
Baryshnikov at the White House,Emile Ardolino                                                                                           
Basic Instinct 2              ,Michael Caton-Jones                                                                                      
Babo 73                       ,Robert Downey Sr.                                                                                        
Balls Bluff                   ,Robert Downey Sr.                                                                                        
Balaclava                     ,Maurice Elvey                                                                                            
Baddesley Manor: The Phantom G,Maurice Elvey                                                                                            
Bad Men of the West           ,Samuel Fuller                                                                                            
Ballad in Blue                ,Paul Henreid                                                                                             
Battle of the Bulge           ,Ken Annakin                                                                                              
Barbed Wire                   ,George Archainbaud                                                                                       
Backstage with Little Lorenzo ,Christopher Bradley                                                                                      
Baroud                        ,Rex Ingram                                                                                               
Battlefield Earth             ,Roger Christian                                                                                          
Bandido                       ,Roger Christian                                                                                          
Bartime                       ,Ernst Gossner                                                                                            
Baroque A Nova                ,Michael Armstrong                                                                                        
Ballets Russes                ,Daniel Geller                                                                                            
Bad Apple                     ,Adam Bernstein                                                                                           
Bayou Romance: Part 1         ,Alan Myerson                                                                                             
Bad Attitudes                 ,Alan Myerson                                                                                             
Bad Man                       ,Victoria Arch                                                                                            
Battle Hymn                   ,Peter Weyrauch                                                                                           
Babe                          ,Chris Noonan                                                                                             
Baba Yaga                     ,Corrado Farina                                                                                           
Back to You and Me            ,David S. Cass Sr.                                                                                        
BachelorMan                   ,John Putch                                                                                               
Battle of the Seasons: Hang Ma,Tim Atzinger                                                                                             
Bad Company                   ,Julian Richards                                                                                          
Bare Knuckles                 ,James P. Hogan                                                                                           
Bachelor of Arts              ,Louis King                                                                                               
Backdoor to Paradise          ,Jamie Gillis                                                                                             
Back on the Prowl             ,Jamie Gillis                                                                                             
Back on the Prowl 2           ,Jamie Gillis                                                                                             
Bach & Variations             ,Anthony Fabian                                                                                           
Bad Animals                   ,David Birdsell                                                                                           
Bariera                       ,Ryszard Bugajski                                                                                         
Babyface                      ,Jack Blum                                                                                                
Babes Illustrated 3           ,Jane Waters                                                                                              
Babes Illustrated 4           ,Jane Waters                                                                                              
Babes Illustrated             ,Jane Waters                                                                                              
Babes Illustrated II          ,Jane Waters                                                                                              
Barely Legal 51               ,Jane Waters                                                                                              
Barras heute                  ,Paul May                                                                                                 
Bare Witness                  ,Kelley Cauthen                                                                                           
Bachelor-at-Law               ,Jay Sandrich                                                                                             
Barsaat                       ,Raj Kapoor                                                                                               
Badlands 2005                 ,George Miller                                                                                            
Babe: Pig in the City         ,George Miller                                                                                            
Backing in 6                  ,Gary Graver                                                                                              
Backing in 7                  ,Gary Graver                                                                                              
Barbara the Barbarian         ,Gary Graver                                                                                              
Batman: Dead End              ,Sandy Collora                                                                                            
Babycakes                     ,Paul Schneider                                                                                           
Bare Essentials               ,Martha Coolidge                                                                                          
Baby Buggy Bunny              ,Chuck Jones                                                                                              
Barbary-Coast Bunny           ,Chuck Jones                                                                                              
Baton Bunny                   ,Chuck Jones                                                                                              
Bad Day at Cat Rock           ,Chuck Jones                                                                                              
Bach Cello Suite #6: Six Gestu,Patricia Rozema                                                                                          
Baby Boy                      ,John Singleton                                                                                           
Baadasssss!                   ,Mario Van Peebles                                                                                        
Bajo en nicotina              ,Raúl Artigot                                                                                            
Batallons de muntanya         ,Manuel Berenguer                                                                                         
