Backanterna                   ,Ingmar Bergman                                                                                           
Back for Christmas            ,Alfred Hitchcock                                                                                         
Battling Butler               ,Buster Keaton                                                                                            
Barry Lyndon                  ,Stanley Kubrick                                                                                          
Bananas                       ,Woody Allen                                                                                              
Baseball Wives                ,Steve Buscemi                                                                                            
Backdraft                     ,Ron Howard                                                                                               
Bad Education                 ,Pedro Almodóvar                                                                                         
Basements                     ,Robert Altman                                                                                            
Bank Run                      ,Robert Altman                                                                                            
Backfire                      ,Robert Altman                                                                                            
Bagels with Bruce             ,Robert Altman                                                                                            
Baby Bummer                   ,Scott Baio                                                                                               
Barbelles                     ,Scott Baio                                                                                               
Batman                        ,Tim Burton                                                                                               
Batman Returns                ,Tim Burton                                                                                               
Battle Beyond the Sun         ,Francis Ford Coppola                                                                                     
Bach Cello Suite #4: Sarabande,Atom Egoyan                                                                                              
Baseball Murder               ,Emilio Estevez                                                                                           
Bare Fists                    ,John Ford                                                                                                
Bamboo Cross                  ,John Ford                                                                                                
Band of Outsiders             ,Jean-Luc Godard                                                                                          
Balked at the Altar           ,D.W. Griffith                                                                                            
Bad Influence                 ,Curtis Hanson                                                                                            
Back Field in Motion          ,Ron Jeremy                                                                                               
Bare Essentials               ,Ron Jeremy                                                                                               
Babes Boobs and Bikes         ,Ron Jeremy                                                                                               
Backdoor to Hollywood 10      ,Ron Jeremy                                                                                               
Backdoor to Hollywood 3       ,Ron Jeremy                                                                                               
Backdoor to Hollywood 6       ,Ron Jeremy                                                                                               
Back in the World             ,Don Johnson                                                                                              
Bamboozled                    ,Spike Lee                                                                                                
Bad News Bears                ,Richard Linklater                                                                                        
Badlands                      ,Terrence Malick                                                                                          
Barenaked in America          ,Jason Priestley                                                                                          
Bad to the Scone              ,Fred Savage                                                                                              
Babies Having Babies          ,Martin Sheen                                                                                             
Bay City Story                ,Alan Smithee                                                                                             
Barbra: The Concert           ,Barbra Streisand                                                                                         
Basic Instinct                ,Paul Verhoeven                                                                                           
Bad Seed                      ,Billy Wilder                                                                                             
Back to the Future            ,Robert Zemeckis                                                                                          
Back to the Future Part II    ,Robert Zemeckis                                                                                          
Back to the Future Part III   ,Robert Zemeckis                                                                                          
Bar Hopping                   ,Steve Cohen                                                                                              
Back to School                ,Willie Aames                                                                                             
Bagdad Cafe                   ,Percy Adlon                                                                                              
Baby Got (Flash) Back         ,Debbie Allen                                                                                             
Basket Cases                  ,Debbie Allen                                                                                             
Bang the Eardrum Slowly       ,David Anspaugh                                                                                           
Barnyard Flirtations          ,Roscoe 'Fatty' Arbuckle                                                                                  
Back Stage                    ,Roscoe 'Fatty' Arbuckle                                                                                  
Bachelor in Paradise          ,Jack Arnold                                                                                              
Batty Baseball                ,Tex Avery                                                                                                
Bad Luck Blackie              ,Tex Avery                                                                                                
Bat with a Golden Tongue/Munda,Ralph Bakshi                                                                                             
Babbo Natale                  ,Lamberto Bava                                                                                            
Baron Blood                   ,Mario Bava                                                                                               
Bad Boys                      ,Michael Bay                                                                                              
Bad Boys II                   ,Michael Bay                                                                                              
Barbara Jane Moves Out        ,Richard Benjamin                                                                                         
Bathroom Bob                  ,Robby Benson                                                                                             
Baby Talk                     ,Robby Benson                                                                                             
Bad Company                   ,Robert Benton                                                                                            
Barry McKenzie Holds His Own  ,Bruce Beresford                                                                                          
Babes in Arms                 ,Busby Berkeley                                                                                           
Babes on Broadway             ,Busby Berkeley                                                                                           
Bambola                       ,Bigas Luna                                                                                               
Battle of the Hexes           ,LeVar Burton                                                                                             
Bar Association               ,LeVar Burton                                                                                             
Barton Fink                   ,Joel Coen                                                                                                
Barney and the Cave Rescue    ,Richard Crenna                                                                                           
Battleship Potemkin           ,Sergei Eisenstein                                                                                        
Bad Lieutenant                ,Abel Ferrara                                                                                             
Barbed Wire Dolls             ,Jesús Franco                                                                                            
Badge of Fear                 ,Stephen Frears                                                                                           
Band of the Hand              ,Paul Michael Glaser                                                                                      
Ballad for a Blue Lady        ,Paul Michael Glaser                                                                                      
Bathroom Interviews           ,Bobcat Goldthwait                                                                                        
Badunkadunk                   ,Seth Green                                                                                               
Bad Kate                      ,Oliver Hardy                                                                                             
Barbary Coast                 ,Howard Hawks                                                                                             
Ball of Fire                  ,Howard Hawks                                                                                             
Ballad of the Little Soldier  ,Werner Herzog                                                                                            
Bad Lieutenant: Port of Call N,Werner Herzog                                                                                            
Bastard Out of Carolina       ,Anjelica Huston                                                                                          
