Hapless Holiday               ,Laslo Benedek                                                                                            
Hapax Legomena III: Critical M,Hollis Frampton                                                                                          
Hapax Legomena V: Ordinary Mat,Hollis Frampton                                                                                          
Hapax Legomena II: Poetic Just,Hollis Frampton                                                                                          
Hapax Legomena VI: Remote Cont,Hollis Frampton                                                                                          
Hapax Legomena VII: Special Ef,Hollis Frampton                                                                                          
Hapax Legomena IV: Travelling ,Hollis Frampton                                                                                          
Haplea                        ,Marin Iorda                                                                                              
Hapnimiyah                    ,Yeud Levanon                                                                                             
Hapless                       ,Jonas Quastel                                                                                            
Hape Kerkeling                ,Claudia Müller                                                                                          
Hapi... End                   ,Petros Leokratis                                                                                         
Hapinesu ni youkoso!          ,Yûsuke Yamamoto                                                                                         
Hapinesu ni youkoso!          ,Ken Katô                                                                                                
Hapi... End                   ,Giorgos Filis                                                                                            
Hapdi ng tag-init             ,Donni Gonzales                                                                                           
