Juliet of the Spirits         ,Federico Fellini                                                                                         
Juno and the Paycock          ,Alfred Hitchcock                                                                                         
Jules and Jim                 ,François Truffaut                                                                                       
Judas on a Pole               ,David Duchovny                                                                                           
Jurassic Park                 ,Steven Spielberg                                                                                         
Juggling Justice              ,Robert Ellis                                                                                             
Judge Not Lest Ye Beheaded    ,Scott Baio                                                                                               
Judge Priest                  ,John Ford                                                                                                
Judith of Bethulia            ,D.W. Griffith                                                                                            
Jungle Fever                  ,Spike Lee                                                                                                
Jump                          ,Robert Duncan McNeill                                                                                    
Julius Caesar                 ,Joseph L. Mankiewicz                                                                                     
Jules                         ,Robert Aldrich                                                                                           
Juliet Is the Sun             ,Jack Arnold                                                                                              
Jump Start                    ,Antonia Bird                                                                                             
Juliet and Romeo              ,Joe D'Amato                                                                                              
Junior Executive              ,Tony Danza                                                                                               
Judgment Day                  ,Patrick Duffy                                                                                            
Julie                         ,Blake Edwards                                                                                            
Julie and Dick at Covent Garde,Blake Edwards                                                                                            
Julie & Julia                 ,Nora Ephron                                                                                              
Jungfrauen-Report             ,Jesús Franco                                                                                            
Juliette                      ,Jesús Franco                                                                                            
Jungle of Fear                ,Jesús Franco                                                                                            
Juggy Car Wash                ,Bobcat Goldthwait                                                                                        
Juggy Water Park              ,Bobcat Goldthwait                                                                                        
Juggy Training                ,Bobcat Goldthwait                                                                                        
Juggs Judy                    ,Bobcat Goldthwait                                                                                        
Judgment Day                  ,Larry Hagman                                                                                             
Judgment at Nuremberg         ,George Roy Hill                                                                                          
Jumpin' Jack Flash            ,Penny Marshall                                                                                           
June                          ,David Paymer                                                                                             
Junior Bonner                 ,Sam Peckinpah                                                                                            
Jungle's Dark But Full of Diam,Charles Martin Smith                                                                                     
Julie and Eric's Baby         ,Barry Sonnenfeld                                                                                         
Jungle Madness                ,Corey Allen                                                                                              
Judgment                      ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Juggler Juggles               ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Juarez                        ,Lizzie Borden                                                                                            
Jury of His Peers             ,Sidney J. Furie                                                                                          
Jupitron                      ,Paul Guilfoyle                                                                                           
Jul och Nyår... då har v    ,Lasse Hallström                                                                                         
Judas Goat                    ,Paul Henreid                                                                                             
Julie Walking Home            ,Agnieszka Holland                                                                                        
Julietta                      ,Marc Allégret                                                                                           
Jump Start                    ,David Jackson                                                                                            
Junto a mí, sin cesar, se a  ,Guillermo Fernández Groizard                                                                            
Julia's Story                 ,Ruby Yang                                                                                                
Jumanji                       ,Joe Johnston                                                                                             
Jurassic Park III             ,Joe Johnston                                                                                             
Junior High School            ,Michael Nankin                                                                                           
Junkopia                      ,Frank Simeone                                                                                            
Juan of the Dead              ,Lev L. Spiro                                                                                             
Judas Kiss                    ,Tucker Gates                                                                                             
Jungle Warriors               ,Ernst Ritter von Theumer                                                                                 
Judgment Night                ,Jeff Freilich                                                                                            
Judgement from the Heart      ,Timothy Bond                                                                                             
Junkopia                      ,Chris Marker                                                                                             
Julieta Buys a Son            ,Louis King                                                                                               
Juliet                        ,James Mangold                                                                                            
Julia                         ,Fred Zinnemann                                                                                           
Julie Gluepot                 ,Philippe de Broca                                                                                        
Jury Duty                     ,Harold Harris                                                                                            
Jucifer: Veterans of Volume - ,Marc Pilvinsky                                                                                           
Jumping the Gun               ,Daniel Attias                                                                                            
Junges Herz voll Liebe        ,Paul May                                                                                                 
Junge Talente                 ,Paul May                                                                                                 
Juilliard at 80               ,Peter Rosen                                                                                              
Jungle Fever                  ,David Winning                                                                                            
Juice, Jesus and Rock & Roll  ,David Winning                                                                                            
Judgement Day                 ,Jay Sandrich                                                                                             
Jules Moves Out               ,Ian Gilmour                                                                                              
Juggling's Not Just a Party Tr,Ian Gilmour                                                                                              
Jump the Shark                ,Philip Sgriccia                                                                                          
Judy Garland in Concert       ,Buddy Bregman                                                                                            
Juliet Prowse Special         ,Buddy Bregman                                                                                            
Juliet                        ,George Miller                                                                                            
Jugsy                         ,Gary Graver                                                                                              
Julie and Eric... Could It Be ,George Verschoor                                                                                         
Julie in a Homeless Shelter?  ,George Verschoor                                                                                         
Julie Thinks Kevin Is Psycho! ,George Verschoor                                                                                         
Judy and the Gorilla          ,Paul Landres                                                                                             
Judy and the Hyena            ,Paul Landres                                                                                             
Judy and the Vulture          ,Paul Landres                                                                                             
Judy Strikes Back             ,Paul Landres                                                                                             
Judy and the Astro-Chimp      ,Paul Landres                                                                                             
Judy and the Jailbirds        ,Paul Landres                                                                                             
Judy and the Wizard           ,Paul Landres                                                                                             
Judy the Poacher              ,Paul Landres                                                                                             
Jumping Ship                  ,Michael Lange                                                                                            
Judgment                      ,Michael Lange                                                                                            
Juggy Science Fair            ,Adam Carolla                                                                                             
Jump!                         ,John Dye                                                                                                 
Jumpin' Jupiter               ,Chuck Jones                                                                                              
Jumpin' Jupiter/A Hound for Tr,Chuck Jones                                                                                              
Julien Donkey-Boy             ,Harmony Korine                                                                                           
Jumbo, Horseless Fire-Engine  ,William K.L. Dickson                                                                                     
Judenburg findet Stadt        ,Elfi Mikesch                                                                                             
Juan Charrasqueado            ,Ernesto Cortázar                                                                                        
Judgement of Allah            ,Mehboob Khan                                                                                             
Judgment at Nuremberg         ,Stanley Kramer                                                                                           
Judgment: The Court Martial of,Stanley Kramer                                                                                           
Judgment: The Court Martial of,Stanley Kramer                                                                                           
Judgment: The Trial of Julius ,Stanley Kramer                                                                                           
Jungbrunnen                   ,Michael Zens                                                                                             
Jump!                         ,Joshua Sinclair                                                                                          
Jurassic Park the Ride Trailer,David de Vos                                                                                             
Judgment Day: The Ellie Nesler,Stephen Tolkin                                                                                           
Judith                        ,Konrad Sabrautzky                                                                                        
Jullie zijn een fantastisch pu,Dennis Bots                                                                                              
Juhu                          ,Khwaja Ahmad Abbas                                                                                       
Jungle Sketch                 ,Norman Abbott                                                                                            
Junior Fire Chief             ,Norman Abbott                                                                                            
June 17, a Memory of Rain     ,Noriyuki Abe                                                                                             
June Wedding                  ,Phil Abraham                                                                                             
Judge Declares a Holiday      ,Derwin Abrahams                                                                                          
Julstormen                    ,Hans Abramson                                                                                            
Julafton                      ,Hans Abramson                                                                                            
Judas                         ,Peter Adam                                                                                               
Judith Was a Lady             ,Justus Addiss                                                                                            
Jungle Trap                   ,Justus Addiss                                                                                            
Judge Not                     ,Franklin Adreon                                                                                          
Junior GIs                    ,Franklin Adreon                                                                                          
Juguete, arte objeto          ,Jorge Aguilera                                                                                           
Julinköp                     ,Bengt Ahlfors                                                                                            
Junior Mandrake               ,Ramasimhan                                                                                               
Judging Edward                ,Salim Akil                                                                                               
Jumping the Broom             ,Salim Akil                                                                                               
Jump That Box!                ,Katsuhito Akiyama                                                                                        
Juego peligroso               ,Luis Alcoriza                                                                                            
Jujubombs/Turtle Stew         ,Mikhail Aldashin                                                                                         
Juarez: Stages of Fear        ,César Alejandro                                                                                         
Junkyard Anal                 ,Jaacov Jaacovi                                                                                           
Jungle Cat                    ,James Algar                                                                                              
Jungle Cat                    ,James Algar                                                                                              
Jungleground                  ,Don Allan                                                                                                
Julius Caesar                 ,Paul Almond                                                                                              
Julie the Jink                ,Paul Almond                                                                                              
Jugari Dharma                 ,Parshwanath Yeshwant Altekar                                                                             
Judy Mouceaux/Larry Coker/Gail,Paul Alter                                                                                               
Juan Globo                    ,Luis César Amadori                                                                                      
Jude Emery                    ,Rod Amateau                                                                                              
Jungle Cavalcade              ,William C. Ament                                                                                         
Jump in My Car                ,Pino Amenta                                                                                              
Junkie                        ,Pino Amenta                                                                                              
July                          ,Pino Amenta                                                                                              
June                          ,Pino Amenta                                                                                              
Jubilee                       ,Dominic Anciano                                                                                          
Juegos de alcoba              ,Raúl de Anda Jr.                                                                                        
Juegos de alcoba              ,Raúl de Anda                                                                                            
Junge Leute brauchen Liebe    ,Géza von Cziffra                                                                                        
Jungle Adventure Campa Campa  ,Torgny Anderberg                                                                                         
Judge Me Tender               ,Mike B. Anderson                                                                                         
Juicy Confessions the Females ,Walter 'Big Walt' Anderson                                                                               
Juloratoriet                  ,Kjell-Åke Andersson                                                                                     
Judgment of the Storm         ,Del Andrews                                                                                              
Juan Manuel de Rosas          ,Manuel Antin                                                                                             
Juromaru and Kageromaru       ,Yasunao Aoki                                                                                             
June 12, 1998                 ,Shinji Aoyama                                                                                            
Julafton -73                  ,Stephan Apelgren                                                                                         
Julafton                      ,Stephan Apelgren                                                                                         
Julgranen                     ,Stephan Apelgren                                                                                         
Julkortet                     ,Stephan Apelgren                                                                                         
Julrim                        ,Stephan Apelgren                                                                                         
Julspelet                     ,Stephan Apelgren                                                                                         
Julbaket                      ,Stephan Apelgren                                                                                         
Julbordet                     ,Stephan Apelgren                                                                                         
Julpynt                       ,Stephan Apelgren                                                                                         
Julstädning                  ,Stephan Apelgren                                                                                         
Jularnas sopa!                ,Stephan Apelgren                                                                                         
Julfrossa                     ,Stephan Apelgren                                                                                         
Juicio de Socrates            ,Raúl Araiza                                                                                             
Jumpin' Crack Bass            ,Wesley Archer                                                                                            
Junkie Business               ,Wesley Archer                                                                                            
Jungle Boy                    ,Jun Aristorenas                                                                                          
Judgement Day                 ,Allan Arkush                                                                                             
Jump, Push, Fall              ,Allan Arkush                                                                                             
Judge and Jury                ,Allan Arkush                                                                                             
Juguetes modernos             ,Albert Arliss                                                                                            
Judging Ladies' Saddle Horses ,Frederick S. Armitage                                                                                    
Juncal                        ,Jaime de Armiñán                                                                                       
Jungstars von heute gegen Jung,Alexander Arnz                                                                                           
Judas Town                    ,Frank Arrigo                                                                                             
Juge et partie                ,Bertrand Arthuys                                                                                         
Jungle Ki Pukar               ,Ranjibhai Arya                                                                                           
Julia's Birthday              ,William Asher                                                                                            
Julia Forever... As Well as Sh,Toyoo Ashida                                                                                             
Jump or Die                   ,Monroe P. Askins                                                                                         
Jump to Freedom               ,Monroe P. Askins                                                                                         
Juan Pablo Pérez Alfonso: e  ,Carlos Azpúrua                                                                                          
Julia's hart                  ,Peter de Baan                                                                                            
Jupiter                       ,Pierre Badel                                                                                             
Jubilo                        ,Clarence G. Badger                                                                                       
Judy M.D.: Super Surgeon      ,Chris Bailey                                                                                             
Juror #5                      ,Fenton Bailey                                                                                            
Jungle Jazz                   ,Harry Bailey                                                                                             
Judicial Discretion           ,Rob Bailey                                                                                               
Judgement of Solomon          ,Bill Bain                                                                                                
Juju Factory                  ,Balufu Bakupa-Kanyinda                                                                                   
Julieta                       ,Alfonso Balcázar                                                                                        
Juliette                      ,Sylvie Ballyot                                                                                           
Julim, édes: Arany János    ,Zsolt Balogh                                                                                             
Judgement Day                 ,Roger Bamford                                                                                            
Julie Andrews, Art Carney, Chi,Bob Banner                                                                                               
Jugalangriya                  ,Jyotish Bannerjee                                                                                        
Juror #5                      ,Randy Barbato                                                                                            
Jumping the Gun               ,Peter Barber-Fleming                                                                                     
Jumpin' Jupiter Affair        ,Joseph Barbera                                                                                           
Jungle Bungle/Strong Mouse/Rus,Joseph Barbera                                                                                           
Jungle Jeopardy               ,Joseph Barbera                                                                                           
Jungle Jitters                ,Joseph Barbera                                                                                           
Jungle Planet/The Terrible Cha,Joseph Barbera                                                                                           
Jules...                      ,Christophe Barbier                                                                                       
Julesburg                     ,Richard L. Bare                                                                                          
Junge Herzen                  ,Boleslaw Barlog                                                                                          
Julie's Aunt/Where Is It Writt,Allen Baron                                                                                              
Judas                         ,Luis Barranco                                                                                            
Jurassic Puck                 ,Joe Barruso                                                                                              
Judgement Day                 ,Christopher Barry                                                                                        
Juke-Bar                      ,Martin Barry                                                                                             
Julia Sweeney                 ,Andy Barsh                                                                                               
Julia Sweeney                 ,Andy Barsh                                                                                               
Judd Nelson                   ,Andy Barsh                                                                                               
Jucarii                       ,Gabriel Barta                                                                                            
Julias Flucht                 ,Stefan Bartmann                                                                                          
Junior Pathfinders Ride Again ,Charles Barton                                                                                           
Jury at the Shady Rest        ,Charles Barton                                                                                           
Judo Kudos                    ,Art Bartsch                                                                                              
Junge Naturforscher           ,Wolfgang Bartsch                                                                                         
Jugoslovenska Investiciona ban,Vladimir Basara                                                                                          
Jugendsünden                 ,Felix Basch                                                                                              
Junkyard Dog                  ,Kim Bass                                                                                                 
Julie                         ,Vincent Batallion                                                                                        
Judgement                     ,Ernest G. Batley                                                                                         
Jugendamt                     ,Ulli Baumann                                                                                             
Juan Tamad Jr.                ,Arsenio Bautista                                                                                         
Judgment Deferred             ,John Baxter                                                                                              
Juan José                    ,Ricardo de Baños                                                                                        
Jungle Girl & the Lost Island ,Geoff Beak                                                                                               
Julie & Phil/Crib for the Cani,Dennis Beauchamp                                                                                         
June Madness                  ,Harry Beaumont                                                                                           
Jules at Eight                ,Mark Becker                                                                                              
Junior, Man, Junior!          ,Guy Norman Bee                                                                                           
Junior Nation RULES!          ,Guy Norman Bee                                                                                           
Junior Name Droppin'          ,Guy Norman Bee                                                                                           
Junior, Man Among Men         ,Guy Norman Bee                                                                                           
Jungle Jim                    ,Ford Beebe                                                                                               
Junior G-Men                  ,Ford Beebe                                                                                               
Julie Newmar: The Cat's Meow  ,J.C. Begley                                                                                              
Jurassic - No Parking         ,Alan J.W. Bell                                                                                           
Junge Liebe                   ,Lothar Bellag                                                                                            
Jungle of Fear                ,Earl Bellamy                                                                                             
Jungle Rebel                  ,Earl Bellamy                                                                                             
Judas Goat                    ,Earl Bellamy                                                                                             
Jumbled Jungle/Alone Together ,Leo Nielsen                                                                                              
Jungle Butterfly              ,Leo Nielsen                                                                                              
Julia: All in Me              ,Ivonne Belén                                                                                            
Jugement d'une femme          ,Hassan Benjelloun                                                                                        
Judgement                     ,Vince Benedetti                                                                                          
Junoon                        ,Shyam Benegal                                                                                            
Jungle Gold                   ,Spencer Gordon Bennet                                                                                    
Jungle Treasure               ,Spencer Gordon Bennet                                                                                    
Jump in the Mouth             ,Geoff Bennett                                                                                            
Judgement                     ,Rodney Bennett                                                                                           
Juan sin ropa                 ,Georges Benoît                                                                                          
Julian Lloyd Webber           ,Alan Benson                                                                                              
Julius Caesar                 ,Frank R. Benson                                                                                          
Juicehead                     ,Elisabeth Bentley                                                                                        
Jumping the Gun               ,F. Paul Benz                                                                                             
Jumping Track                 ,Tom Elliot                                                                                               
Juhannustanssit               ,Eija-Elina Bergholm                                                                                      
Jungle Makeover               ,Timothy Björklund                                                                                       
Junk Junkies/Day of the Flecko,Timothy Björklund                                                                                       
