Wayfarers                     ,David Niven                                                                                              
Waivers of Extradition        ,Kevin Bacon                                                                                              
Warrior and the Demon         ,John Carpenter                                                                                           
W.E.                          ,Madonna                                                                                                  
War of the Worlds             ,Steven Spielberg                                                                                         
War Horse                     ,Steven Spielberg                                                                                         
Wall Street                   ,Oliver Stone                                                                                             
Wall Street: Money Never Sleep,Oliver Stone                                                                                             
W.                            ,Oliver Stone                                                                                             
War of Nerves                 ,Alan Alda                                                                                                
Walk in the Sky               ,Robert Altman                                                                                            
Warren Piece                  ,Scott Baio                                                                                               
War of the Satellites         ,Roger Corman                                                                                             
Wagon Master                  ,John Ford                                                                                                
Water                         ,Peter Greenaway                                                                                          
Water Wrackets                ,Peter Greenaway                                                                                          
Walking to Paris              ,Peter Greenaway                                                                                          
Was Justice Served?           ,D.W. Griffith                                                                                            
Waiter No. 5                  ,D.W. Griffith                                                                                            
Was He a Coward?              ,D.W. Griffith                                                                                            
Waifs                         ,D.W. Griffith                                                                                            
Way Down East                 ,D.W. Griffith                                                                                            
Waking Life                   ,Richard Linklater                                                                                        
Waiting for Robert Capa       ,Michael Mann                                                                                             
Walk Like a Man               ,Matthew Modine                                                                                           
Wanted                        ,Chris O'Donnell                                                                                          
War                           ,Eric Stoltz                                                                                              
Wanted Man                    ,Peter Weller                                                                                             
Wakefield Express             ,Lindsay Anderson                                                                                         
Waiting for Watubi            ,Jack Arnold                                                                                              
Wacky Wildlife                ,Tex Avery                                                                                                
Wags to Riches                ,Tex Avery                                                                                                
W.W. and the Dixie Dancekings ,John G. Avildsen                                                                                         
Wannabe                       ,Jon Avnet                                                                                                
WarGames                      ,John Badham                                                                                              
Wander/Lust                   ,John Badham                                                                                              
Watchbird                     ,Harold Becker                                                                                            
Waking Compton                ,Lisa Bonet                                                                                               
Waiting                       ,John Boorman                                                                                             
Wall Street Gunslinger        ,Richard Donner                                                                                           
Walk Like a Man               ,Patrick Duffy                                                                                            
Wanda Nevada                  ,Peter Fonda                                                                                              
Walter & June                 ,Stephen Frears                                                                                           
Walter                        ,Stephen Frears                                                                                           
Wah-Wah                       ,Richard E. Grant                                                                                         
Waiting for Guffman           ,Christopher Guest                                                                                        
Wanted - A Bad Man            ,Oliver Hardy                                                                                             
War of the Worlds 2: The Next ,C. Thomas Howell                                                                                         
Wanted                        ,Marianne Jean-Baptiste                                                                                   
Waterville                    ,David Keith                                                                                              
Wally                         ,Michael Landon                                                                                           
Wag the Dog                   ,Barry Levinson                                                                                           
Water Mania                   ,Jerry Lewis                                                                                              
Walkout                       ,Edward James Olmos                                                                                       
Wanda on the Dating Game      ,Rosie Perez                                                                                              
War of Nerves                 ,Sydney Pollack                                                                                           
Walkabout                     ,Nicolas Roeg                                                                                             
Watch the Birdie              ,Ken Russell                                                                                              
War Bride                     ,Kevin Sorbo                                                                                              
Waterloo Bridge               ,James Whale                                                                                              
Waiting to Exhale             ,Forest Whitaker                                                                                          
Wanna Buy a Television Series?,Roy Ward Baker                                                                                           
Waiting for Goddard           ,Roy Ward Baker                                                                                           
Wanted: Dead                  ,William Conrad                                                                                           
Wages of Sin                  ,Sidney J. Furie                                                                                          
W.C. Fields and Me            ,Arthur Hiller                                                                                            
Washington Square             ,Agnieszka Holland                                                                                        
Wanderkrebs                   ,Herbert Achternbusch                                                                                     
Wagon Team                    ,George Archainbaud                                                                                       
Warning! Danger!              ,George Archainbaud                                                                                       
Wall of Silence               ,Richard Franklin                                                                                         
War of the Buttons            ,Yves Robert                                                                                              
Waarom eigenlijk?             ,Boris Paval Conen                                                                                        
War and Peace: Part 2         ,Kevin Inch                                                                                               
Watch It                      ,Tom Flynn                                                                                                
Warm and Dead                 ,Alik Sakharov                                                                                            
Walk-Alone                    ,David Jackson                                                                                            
Warplay                       ,David Jackson                                                                                            
Waterfront                    ,Terry O. Morse                                                                                           
Wakejam                       ,Bill Corcoran                                                                                            
Waging Bull                   ,Bill D'Elia                                                                                              
War and Peace                 ,Bill D'Elia                                                                                              
WaterMelon                    ,Tim Clague                                                                                               
Water Proof/French Connection ,Annie Bradley                                                                                            
Warnings                      ,Sean-Michael Smith                                                                                       
