Absolute Power                ,Clint Eastwood                                                                                           
Abraham Lincoln               ,D.W. Griffith                                                                                            
About Last Night              ,Gary Sinise                                                                                              
Abel/Asia                     ,Asia Argento                                                                                             
Absolute Conviction           ,Antonia Bird                                                                                             
Absurd                        ,Joe D'Amato                                                                                              
Above the Law                 ,Andrew Davis                                                                                             
Aberraciones sexuales de una m,Jesús Franco                                                                                            
Able's Will                   ,Stephen Frears                                                                                           
Absolute Perfection           ,Paul Michael Glaser                                                                                      
Absolute Zero (Pilot)         ,Tobe Hooper                                                                                              
Absence of Malice             ,Sydney Pollack                                                                                           
About Last Night              ,Edward Zwick                                                                                             
ABBA: The Movie               ,Lasse Hallström                                                                                         
ABBA: The Definitive Collectio,Lasse Hallström                                                                                         
Abby, Julia and the Seven Pet ,Arthur Hiller                                                                                            
Ab nach Tibet!                ,Herbert Achternbusch                                                                                     
Abel Gance: The Charm of Dynam,Kevin Brownlow                                                                                           
Abenteuerland                 ,Roger Wielgus                                                                                            
Abgebrochen                   ,Roger Wielgus                                                                                            
Abomination: The Evilmaker II ,John Bowker                                                                                              
Aashiana                      ,Amit Khanna                                                                                              
Abominable Snowman            ,Bill D'Elia                                                                                              
Aaron Siskind: Second Sight   ,Ted Haimes                                                                                               
Aangespoeld                   ,Joram Lürsen                                                                                            
Abrams for the Defense        ,Aaron Lipstadt                                                                                           
Abused Husband                ,Jamie Gillis                                                                                             
Abandon Earth                 ,Richard J. Lewis                                                                                         
Abe Lincoln Slept Here        ,Jay Sandrich                                                                                             
Absolute Power                ,Ian Gilmour                                                                                              
Abc Montessoriano             ,Murilo Salles                                                                                            
About Number Ten              ,Philip Sgriccia                                                                                          
Aag                           ,Raj Kapoor                                                                                               
AAMCO                         ,Robert B. Weide                                                                                          
Aa Okkati Adakku              ,E.V.V. Satyanarayana                                                                                     
Aame                          ,E.V.V. Satyanarayana                                                                                     
Aavida Maa Aavide             ,E.V.V. Satyanarayana                                                                                     
About Family Affairs Only     ,Jirí Svoboda                                                                                            
