title,name
Alaala                        ,Gina Alajar                                                                                              
Alaala kita                   ,Manuel Conde                                                                                             
Alaala ni Fe                  ,Don Michael Perez                                                                                        
Alaala ni Elias               ,Don Michael Perez                                                                                        
Alaaf auf hoher See           ,Sibylle Nies                                                                                             
Alab                          ,Janis Piopongco                                                                                          
Alab                          ,Mark A. Reyes                                                                                            
Alaala                        ,Mark A. Reyes                                                                                            
Alaaf You                     ,Baris Aladag                                                                                             
Alaala ng ina                 ,Albert Langitan                                                                                          
Alaaf auf hoher See           ,Deborah Stöckle                                                                                          
Alaap                         ,Hrishikesh Mukherjee                                                                                     
Alaala ng lumipas             ,Mar S. Torres                                                                                            
Alaaf auf hoher See           ,Gerrit Mannes                                                                                            
Alaala ng alon                ,Liryc Dela Cruz                                                                                          
Alaa                          ,Manohar Chimmani                                                                                         
Alaala kita                   ,Cesar Gallardo                                                                                           
Alaan                         ,Gulzar                                                                                                   
Alaala ni Fe                  ,Toto Natividad                                                                                           
Alaala ni Elias               ,Toto Natividad                                                                                           
Alaala ng pag-ibig            ,J. Erastheo Navoa                                                                                        
Alaala kita                   ,Armando Garces                                                                                           
Alaalang banal                ,Armando Garces                                                                                           
Alab                          ,Ana Cristina Ganzon                                                                                      
Alaala                        ,Rechie Del Carmen                                                                                        
