King John                     ,Herbert Beerbohm Tree                                                                                    
Carmencita                    ,William K.L. Dickson                                                                                     
Corbett and Courtney Before th,William K.L. Dickson                                                                                     
Edison Kinetoscopic Record of ,William K.L. Dickson                                                                                     
Awakening of Rip              ,William K.L. Dickson                                                                                     
Dancing Darkies               ,William K.L. Dickson                                                                                     
Exit of Rip and the Dwarf     ,William K.L. Dickson                                                                                     
A Hard Wash                   ,William K.L. Dickson                                                                                     
Rip Meeting the Dwarf         ,William K.L. Dickson                                                                                     
Rip Passing Over the Mountain ,William K.L. Dickson                                                                                     
Rip's Toast to Hudson         ,William K.L. Dickson                                                                                     
A Watermelon Feast            ,William K.L. Dickson                                                                                     
Indian War Council            ,William K.L. Dickson                                                                                     
King John                     ,William K.L. Dickson                                                                                     
Riña en un café         ,Fructuós Gelabert                                                                                     
Salida de los trabajadores de ,Fructuós Gelabert                                                                                     
Salida del público de la ig,Fructuós Gelabert                                                                                     
Dorotea                       ,Fructuós Gelabert                                                                                     
Llegada de un tren a la estaci,Fructuós Gelabert                                                                                     
Visita de Doña María Cri,Fructuós Gelabert                                                                                     
Choque de dos transatlántic,Fructuós Gelabert                                                                                     
Llegada del vapor Bellver a Ma,Fructuós Gelabert                                                                                     
The Derby 1895                ,Birt Acres                                                                                               
Opening of the Kiel Canal     ,Birt Acres                                                                                               
The Oxford and Cambridge Unive,Birt Acres                                                                                               
Rough Sea at Dover            ,Birt Acres                                                                                               
The Boxing Kangaroo           ,Birt Acres                                                                                               
Boxing Match; or, Glove Contes,Birt Acres                                                                                               
Dancing Girls                 ,Birt Acres                                                                                               
Henley Regatta                ,Birt Acres                                                                                               
Raffles, the Amateur Cracksman,Gilbert M. 'Broncho Billy' Anderson                                                                      
Uncle Tom's Cabin             ,Siegmund Lubin                                                                                           
The Great Train Robbery       ,Siegmund Lubin                                                                                           
New York Subway               ,G.W. Bitzer                                                                                              
Panorama de Barcelona: monumen,Fructuós Gelabert                                                                                     
A Road for Children's Bicycles,Fructuós Gelabert                                                                                     
Visita de la escuadra inglesa ,Fructuós Gelabert                                                                                     
Carnaval en las ramblas       ,Fructuós Gelabert                                                                                     
Carreras de caballos en el hip,Fructuós Gelabert                                                                                     
Procesión de las hijas de M,Fructuós Gelabert                                                                                     
Carreras de bicicletas en el p,Fructuós Gelabert                                                                                     
Puerto de Barcelona           ,Fructuós Gelabert                                                                                     
Los guapos de la Vaquería d,Fructuós Gelabert                                                                                     
Bilbao, Portugalete y los Alto,Fructuós Gelabert                                                                                     
Cerveza gratis                ,Fructuós Gelabert                                                                                     
Ferias en San Sebastián y C,Fructuós Gelabert                                                                                     
Los kikos                     ,Fructuós Gelabert                                                                                     
Ladrones burlados             ,Fructuós Gelabert                                                                                     
The Adventures of Dollie      ,D.W. Griffith                                                                                            
After Many Years              ,D.W. Griffith                                                                                            
An Awful Moment               ,D.W. Griffith                                                                                            
Balked at the Altar           ,D.W. Griffith                                                                                            
The Bandit's Waterloo         ,D.W. Griffith                                                                                            
Behind the Scenes             ,D.W. Griffith                                                                                            
Betrayed by a Handprint       ,D.W. Griffith                                                                                            
